id,item,response,rating,creativity,response_processed,cluster_freq,originality,freq,t_freq
1094,Rope,to climb with,1,1,climb,0.9435146443514645,0,0.05648535564853552,0.2204754497628157
1094,Rope,to hang things,2,3,hang,0.9665271966527197,0,0.03347280334728031,0.35879799750001584
1094,Rope,as a decoration,3,3,decoration,0.99581589958159,0,0.004184100418409997,0.8515227858857216
1094,Rope,to make unique designs with,4,3,unique design,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1094,Rope,to tie different knots,1,2,tie different knot,0.9707112970711297,0,0.029288702928870314,0.3976650120787239
1093,Rope,tying,1,2,tying,0.9832635983263598,0,0.01673640167364021,0.5613250655948735
1093,Rope,strangling,3,2,strangling,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1093,Rope,dangling,2,2,dangling,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1093,Rope,loosening,2,2,loosening,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1093,Rope,jumping,2,3,jumping,0.9895397489539749,0,0.010460251046025104,0.6839118305575843
1093,Rope,shaking,2,3,shaking,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1093,Rope,pulling,2,1,pulling,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1159,Rope,climb,1,1,climb,0.9435146443514645,0,0.05648535564853552,0.2204754497628157
1159,Rope,travel,3,4,travel,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1159,Rope,use to jump off something with,2,1,jump,0.99581589958159,0,0.004184100418409997,0.8515227858857216
1159,Rope,connect things,2,1,connect,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1159,Rope,use for a workout,3,3,workout,0.9937238493723849,0,0.006276150627615107,0.7893893119221668
1159,Rope,use to wrap presents,3,3,wrap present,0.997907949790795,1,0.0020920502092049986,0.9212915920710963
1159,Rope,decorative,3,3,decorative,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1159,Rope,tie knots,1,2,tie knot,0.9707112970711297,0,0.029288702928870314,0.3976650120787239
1159,Rope,hold things together,1,3,hold,0.9790794979079498,0,0.02092050209205021,0.4970457966777178
1195,Rope,tie a boat to a dock,1,2,tie boat dock,0.9916317991631799,0,0.008368200836820106,0.7338163692655535
1195,Rope,use it for working out,3,3,working,0.9916317991631799,0,0.008368200836820106,0.7338163692655535
1195,Rope,for tying a knot,1,2,tying knot,0.9874476987447699,0,0.012552301255230103,0.6389302133085764
1195,Rope,to swing,2,1,swing,0.9728033472803347,0,0.027196652719665315,0.4195107262725739
1141,Rope,to exercise,3,2,exercise,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1141,Rope,to tie objects together,1,2,tie object,0.9728033472803347,0,0.027196652719665315,0.4195107262725739
1141,Rope,to hang objects,2,1,hang object,0.9665271966527197,0,0.03347280334728031,0.35879799750001584
1141,Rope,to use in a pulley,2,2,pulley,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1141,Rope,to drag objects,2,2,drag object,0.9811715481171548,0,0.01882845188284521,0.527720549514509
1141,Rope,to secure objects to a surface,2,2,secure object surface,0.9874476987447699,0,0.012552301255230103,0.6389302133085764
1141,Rope,to attack someone/use as weapon,3,4,attack weapon,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1104,Rope,tying things together,1,2,tying,0.9832635983263598,0,0.01673640167364021,0.5613250655948735
1104,Rope,working out,3,3,working,0.9916317991631799,0,0.008368200836820106,0.7338163692655535
1104,Rope,swinging,2,1,swinging,0.9916317991631799,0,0.008368200836820106,0.7338163692655535
1104,Rope,acting as a barrier,3,3,acting barrier,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1286,Rope,to climb,1,1,climb,0.9435146443514645,0,0.05648535564853552,0.2204754497628157
1286,Rope,to tie something up,1,2,tie,0.9225941422594143,0,0.07740585774058573,0.15401436040131486
1286,Rope,a belt,3,4,belt,0.9895397489539749,0,0.010460251046025104,0.6839118305575843
1286,Rope,use it as a boarder,3,2,boarder,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1205,Rope,JUMP ROPE,2,3,jump rope,0.9790794979079498,0,0.02092050209205021,0.4970457966777178
1163,Rope,to climb,1,1,climb,0.9435146443514645,0,0.05648535564853552,0.2204754497628157
1163,Rope,to tie,1,2,tie,0.9225941422594143,0,0.07740585774058573,0.15401436040131486
1163,Rope,to fasten,2,3,fasten,0.9811715481171548,0,0.01882845188284521,0.527720549514509
1192,Rope,swing,2,1,swing,0.9728033472803347,0,0.027196652719665315,0.4195107262725739
1192,Rope,secure a boat,2,2,secure boat,0.9874476987447699,0,0.012552301255230103,0.6389302133085764
1192,Rope,hang items,2,2,hang item,0.9895397489539749,0,0.010460251046025104,0.6839118305575843
1192,Rope,tie bundles of paper,1,2,tie bundle paper,0.9728033472803347,0,0.027196652719665315,0.4195107262725739
1087,Rope,tie something,1,2,tie,0.9225941422594143,0,0.07740585774058573,0.15401436040131486
1087,Rope,to hang something,2,2,hang,0.9665271966527197,0,0.03347280334728031,0.35879799750001584
1087,Rope,to decorate a vase,3,4,decorate vase,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1087,Rope,to mark a perimeter,3,3,mark perimeter,0.99581589958159,0,0.004184100418409997,0.8515227858857216
1087,Rope,to jump rope,2,3,jump rope,0.9790794979079498,0,0.02092050209205021,0.4970457966777178
1087,Rope,a weapon,3,3,weapon,0.7405857740585774,0,0.2594142259414226,0.026113161452126027
1176,Rope,tie things,1,2,tie,0.9225941422594143,0,0.07740585774058573,0.15401436040131486
1176,Rope,swing from things,2,2,swing,0.9728033472803347,0,0.027196652719665315,0.4195107262725739
1176,Rope,hold things together,2,2,hold,0.9790794979079498,0,0.02092050209205021,0.4970457966777178
1176,Rope,climb up,1,1,climb,0.9435146443514645,0,0.05648535564853552,0.2204754497628157
1258,Rope,jump rope,2,2,jump rope,0.9790794979079498,0,0.02092050209205021,0.4970457966777178
1258,Rope,rope that is used to tie knots,1,2,rope tie knot,0.9707112970711297,0,0.029288702928870314,0.3976650120787239
