id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1094,build a structure,build structure,"['build', 'structure']",build structure,Brick,brick,0.09817,1.04816,0.99066,1.0395,1.04503,1.11838,1.04835,1.118375452765394,1.1107653220729383,0.6988858923131147,0.7487043353735214,0.6988858923131147,1,1,1.0
1094,throw and break a window,throw break window,"['throw', 'break', 'window']",throw break window,Brick,brick,-0.00879,0.81308,0.96334,0.98875,0.95989,0.8006,0.90513,0.8005985526349658,1.0127377320767124,0.9174935932346462,0.9181774255353037,0.793730963966302,3,2,2.5
1094,use as a stepping stool,use stepping stool,"['stepping', 'stool']",stepping stool,Brick,brick,-0.02285,0.95635,0.88973,0.93905,0.91332,0.81483,0.90266,1.0728263877263342,0.9789051277540652,0.9178012300020963,0.8633876429780258,0.3918386196513213,3,3,3.0
1094,drop a brick over a small fire to snuff it out,drop brick small fire snuff,"['drop', 'brick', 'small', 'fire', 'snuff']",drop brick small fire snuff,Brick,brick,0.06749,0.66796,1.00688,1.05756,1.09136,1.21151,1.00705,1.2115088810312324,0.9338462908284167,0.9609564895402727,0.8803651698211836,0.7688622537228448,4,4,4.0
1094,as a hammer,hammer,['hammer'],hammer,Brick,brick,-0.10577,0.72563,0.84975,0.7923,0.97131,0.89504,0.84681,0.8950373463876005,0.942647627462162,0.8950373463876005,0.9014504899365503,0.5905655421475138,3,4,3.5
1093,building,building,['building'],building,Brick,brick,-0.36378,0.60702,0.70089,0.54039,0.40187,0.40225,0.53048,0.40225486278118405,0.6903302674944394,0.40225486278118405,0.5419196626540241,0.40225486278118405,1,1,1.0
1093,throwing,throwing,['throwing'],throwing,Brick,brick,-0.0513,0.76731,0.81881,0.93459,1.01815,0.84864,0.8775,0.8486433821280855,1.0426476146168893,0.8486433821280855,0.8677150936765182,0.8486433821280855,3,2,2.5
1093,propping a door open,propping door open,"['propping', 'door', 'open']",propping door open,Brick,brick,0.03985,0.85863,0.963,0.96261,1.06453,1.14105,0.99796,1.1410498715056974,1.035681579638807,1.0154229242681894,0.9682808718496331,0.8799864924679536,2,3,2.5
1093,paving in a sidewalk,paving sidewalk,"['paving', 'sidewalk']",paving sidewalk,Brick,brick,0.05103,1.13007,1.04253,0.88947,0.91213,1.13592,1.02202,1.1359165721761277,0.942647627462162,0.7201986416419148,0.9014504899365503,0.5905655421475138,1,1,1.0
1093,engraving,engraving,['engraving'],engraving,Brick,brick,-0.06442,0.99669,0.81319,0.83854,0.99083,0.79655,0.88716,0.796546262109243,0.942647627462162,0.796546262109243,0.9014504899365503,0.5905655421475138,3,3,3.0
1093,collecting,collecting,['collecting'],collecting,Brick,brick,0.03393,0.91825,1.0145,0.96537,1.05133,0.94646,0.97918,0.9464573286532507,0.942647627462162,0.9464573286532507,0.9014504899365503,0.5905655421475138,5,4,4.5
1093,cook with charcoal bricks,cook charcoal bricks,"['cook', 'charcoal', 'brick']",cook charcoal brick,Brick,brick,-0.10474,0.83566,0.86116,0.86683,0.68971,0.74063,0.7988,0.7261032054564402,0.9338462908284167,0.9363483074042631,0.8803651698211836,0.7688622537228448,4,4,4.0
1159,Build,build,['build'],build,Brick,brick,-0.16209,0.68043,0.81555,0.80979,0.70277,0.69889,0.74149,0.6988858923131147,0.7976785282908534,0.6988858923131147,0.7063017027125547,0.6988858923131147,2,1,1.5
1159,weapon,weapon,['weapon'],weapon,Brick,brick,0.01624,0.85011,0.96659,0.9662,1.03924,0.96281,0.95699,0.962805025846769,0.942647627462162,0.962805025846769,0.9014504899365503,0.5905655421475138,3,3,3.0
1159,tool,tool,['tool'],tool,Brick,brick,-0.00474,0.90589,0.89268,0.9508,1.07559,0.85408,0.93581,0.8540835027712761,0.942647627462162,0.8540835027712761,0.9014504899365503,0.5905655421475138,3,2,2.5
1159,decoration,decoration,['decoration'],decoration,Brick,brick,-0.121,0.854,0.8456,0.79746,0.904,0.65896,0.812,0.6589589217934069,0.942647627462162,0.6589589217934069,0.9014504899365503,0.5905655421475138,4,3,3.5
1159,a way to communicate,way communicate,"['way', 'communicate']",way communicate,Brick,brick,0.00743,0.97536,0.93326,0.8709,0.97514,1.13914,0.97876,1.1391371144853952,0.942647627462162,1.0294988526482585,0.9014504899365503,0.5905655421475138,5,5,5.0
